

gen best mean std
0 21.174 -2.0052 8.686362
1 30.174 2.738479 11.376968
2 30.203942 11.311269 10.665285
3 39.057201 14.079418 13.004548
4 39.057201 16.423918 12.054551
5 39.057201 12.827865 13.994
6 39.057201 17.661192 11.25702
7 39.057201 14.102368 13.796036
8 39.057201 15.23557 13.687286
9 39.057201 14.450795 14.981
10 39.057201 13.503934 15.722281
11 39.057201 14.92456 15.034903
12 39.159358 17.488957 13.633826
13 39.159358 15.912557 15.434923
14 39.159358 16.927148 14.621418
15 39.375982 18.4824 14.45619
